Дата;Посетило
03.12.2020;2
04.12.2020;2
05.12.2020;1
06.12.2020;2
07.12.2020;1
08.12.2020;319
09.12.2020;126
10.12.2020;100
11.12.2020;98
12.12.2020;67
13.12.2020;69
14.12.2020;77
15.12.2020;74
16.12.2020;69
17.12.2020;68
18.12.2020;66
19.12.2020;57
20.12.2020;61
21.12.2020;66
22.12.2020;79
23.12.2020;95
24.12.2020;92
25.12.2020;91
26.12.2020;74
27.12.2020;73
28.12.2020;68
29.12.2020;80
30.12.2020;85
31.12.2020;78
01.01.2021;73
02.01.2021;85
03.01.2021;63
04.01.2021;74
05.01.2021;59
06.01.2021;64
07.01.2021;73
08.01.2021;68
09.01.2021;59
10.01.2021;58
11.01.2021;95
12.01.2021;73
13.01.2021;82
14.01.2021;80
15.01.2021;82
16.01.2021;85
17.01.2021;86
18.01.2021;81
19.01.2021;84
20.01.2021;75
21.01.2021;109
22.01.2021;120
23.01.2021;102
24.01.2021;90
25.01.2021;102
26.01.2021;90
27.01.2021;103
28.01.2021;101
29.01.2021;117
30.01.2021;87
31.01.2021;107
01.02.2021;119
02.02.2021;105
03.02.2021;107
04.02.2021;108
05.02.2021;115
06.02.2021;104
07.02.2021;109
08.02.2021;117
09.02.2021;113
10.02.2021;122
11.02.2021;111
12.02.2021;111
13.02.2021;101
14.02.2021;85
15.02.2021;97
16.02.2021;124
17.02.2021;117
18.02.2021;113
19.02.2021;104
20.02.2021;113
21.02.2021;99
22.02.2021;111
23.02.2021;88
24.02.2021;125
25.02.2021;99
26.02.2021;124
27.02.2021;97
28.02.2021;105
01.03.2021;75
02.03.2021;116
03.03.2021;132
04.03.2021;94
05.03.2021;135
06.03.2021;107
07.03.2021;89
08.03.2021;90
09.03.2021;144
10.03.2021;125
11.03.2021;95
12.03.2021;118
13.03.2021;88
14.03.2021;92
15.03.2021;133
16.03.2021;110
17.03.2021;117
18.03.2021;99
19.03.2021;130
20.03.2021;100
21.03.2021;139
22.03.2021;121
23.03.2021;136
24.03.2021;90
25.03.2021;115
26.03.2021;130
27.03.2021;116
28.03.2021;111
29.03.2021;135
30.03.2021;123
31.03.2021;118
01.04.2021;114
02.04.2021;113
03.04.2021;102
04.04.2021;99
05.04.2021;133
06.04.2021;123
07.04.2021;114
08.04.2021;116
09.04.2021;123
10.04.2021;108
11.04.2021;105
12.04.2021;149
13.04.2021;125
14.04.2021;116
15.04.2021;133
16.04.2021;117
17.04.2021;97
18.04.2021;105
19.04.2021;123
20.04.2021;101
21.04.2021;147
22.04.2021;101
23.04.2021;105
24.04.2021;101
25.04.2021;131
26.04.2021;122
27.04.2021;113
28.04.2021;120
29.04.2021;104
30.04.2021;122
01.05.2021;117
02.05.2021;125
03.05.2021;132
04.05.2021;117
05.05.2021;101
06.05.2021;123
07.05.2021;109
08.05.2021;97
09.05.2021;95
10.05.2021;100
11.05.2021;118
12.05.2021;123
13.05.2021;105
14.05.2021;133
15.05.2021;103
16.05.2021;100
17.05.2021;102
18.05.2021;100
19.05.2021;105
20.05.2021;104
21.05.2021;104
22.05.2021;90
23.05.2021;77
24.05.2021;122
25.05.2021;127
26.05.2021;122
27.05.2021;102
28.05.2021;102
29.05.2021;106
30.05.2021;95
31.05.2021;87
01.06.2021;87
02.06.2021;85
03.06.2021;96
04.06.2021;104
05.06.2021;83
06.06.2021;83
07.06.2021;133
08.06.2021;103
09.06.2021;103
10.06.2021;103
11.06.2021;97
12.06.2021;76
13.06.2021;81
14.06.2021;93
15.06.2021;98
16.06.2021;120
17.06.2021;114
18.06.2021;95
19.06.2021;95
20.06.2021;90
21.06.2021;83
22.06.2021;100
23.06.2021;82
24.06.2021;121
25.06.2021;95
26.06.2021;80
27.06.2021;80
28.06.2021;97
29.06.2021;100
30.06.2021;78
01.07.2021;104
02.07.2021;122
03.07.2021;115
04.07.2021;94
05.07.2021;110
06.07.2021;116
